Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Exchange rate_MAPE,Exchange rate_MAE,Exchange rate_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,197,50,N/A,N/A,N/A,3.418766975402832,3.418766975402832,0.03748797651597311,0.01989783899763832,0.0006194248130347646,0.03748797651597311,0.01989783899763832,0.0006194248130347646
Fixed Cut 5.0%,188,50,9,4.568527918781726,N/A,2.9133551120758057,2.9133551120758057,0.039690996345778856,0.02139696042240378,0.0006716127680114088,0.039690996345778856,0.02139696042240378,0.0006716127680114088
Fixed Cut 10.0%,178,50,19,9.644670050761421,N/A,2.427901268005371,2.427901268005371,0.12168587692713756,0.06627755608002087,0.0052565949779641245,0.12168587692713756,0.06627755608002087,0.0052565949779641245
Fixed Cut 15.0%,168,50,29,14.720812182741117,N/A,2.3142149448394775,2.3142149448394775,0.04525107468256895,0.023355036910923128,0.000870412325253494,0.04525107468256895,0.023355036910923128,0.000870412325253494
Fixed Cut 20.0%,158,50,39,19.796954314720814,N/A,3.8021020889282227,3.8021020889282227,0.038594060460301935,0.020709408659422543,0.000635992644837111,0.038594060460301935,0.020709408659422543,0.000635992644837111
Fixed Cut 25.0%,148,50,49,24.873096446700508,N/A,3.380044937133789,3.380044937133789,0.050892184386065346,0.027640679887512936,0.0011084286592101347,0.050892184386065346,0.027640679887512936,0.0011084286592101347
Fixed Cut 30.0%,138,50,59,29.949238578680205,N/A,3.2699058055877686,3.2699058055877686,0.041287339094740895,0.022221667904341366,0.0007207631505740974,0.041287339094740895,0.022221667904341366,0.0007207631505740974
Fixed Cut 35.0%,129,50,68,34.51776649746193,N/A,5.971397161483765,5.971397161483765,0.035645632360881044,0.019151329988237174,0.0005556760278031249,0.035645632360881044,0.019151329988237174,0.0005556760278031249
Fixed Cut 40.0%,119,50,78,39.59390862944163,N/A,3.6838741302490234,3.6838741302490234,0.04306573110008811,0.0235366616863382,0.0008090933228025275,0.04306573110008811,0.0235366616863382,0.0008090933228025275
Fixed Cut 45.0%,109,50,88,44.67005076142132,N/A,2.5393059253692627,2.5393059253692627,0.047780637186671186,0.026406677343380015,0.0010289662934576005,0.047780637186671186,0.026406677343380015,0.0010289662934576005
Fixed Cut 50.0%,99,50,98,49.746192893401016,N/A,3.4467990398406982,3.4467990398406982,0.04560578117776753,0.025222334770952325,0.0009493528537239971,0.04560578117776753,0.025222334770952325,0.0009493528537239971
Fixed Cut 55.0%,89,50,108,54.82233502538071,N/A,2.650394916534424,2.650394916534424,0.0522717054126769,0.030886661708653198,0.0014257225474817992,0.0522717054126769,0.030886661708653198,0.0014257225474817992
Fixed Cut 60.0%,79,50,118,59.89847715736041,N/A,2.8120718002319336,2.8120718002319336,0.058910020929050656,0.06056441781440721,0.005366483882271583,0.058910020929050656,0.06056441781440721,0.005366483882271583
Fixed Cut 65.0%,69,50,128,64.9746192893401,N/A,2.6688120365142822,2.6688120365142822,0.05047981372074518,0.05178803014661932,0.003978271990659097,0.05047981372074518,0.05178803014661932,0.003978271990659097
Fixed Cut 70.0%,60,50,137,69.54314720812182,N/A,2.6567888259887695,2.6567888259887695,0.05987184906987466,0.06136138181661725,0.00544265764057181,0.05987184906987466,0.06136138181661725,0.00544265764057181
Fixed Cut 75.0%,50,50,147,74.61928934010153,N/A,2.7997398376464844,2.7997398376464844,0.05875209131196184,0.06022848000133379,0.005008853428408081,0.05875209131196184,0.06022848000133379,0.005008853428408081
Fixed Cut 80.0%,40,50,157,79.69543147208121,N/A,2.5733790397644043,2.5733790397644043,0.10011875824254908,0.10219193934699995,0.012853426522782275,0.10011875824254908,0.10219193934699995,0.012853426522782275
Fixed Cut 85.0%,30,50,167,84.77157360406092,N/A,2.3900840282440186,2.3900840282440186,0.15534470166254255,0.1566092610596421,0.026822981089244118,0.15534470166254255,0.1566092610596421,0.026822981089244118
Fixed Cut 90.0%,20,50,177,89.84771573604061,N/A,2.5331711769104004,2.5331711769104004,0.13847868034342475,0.14027443350347554,0.02240436288082824,0.13847868034342475,0.14027443350347554,0.02240436288082824
Window L1,82,50,115,58.37563451776649,0.0038230419158935547,2.2910051345825195,2.294828176498413,0.05449573414814719,0.04061172553319059,0.002373289908656155,0.05449573414814719,0.04061172553319059,0.002373289908656155
Window L2,82,50,115,58.37563451776649,0.002610921859741211,2.4848039150238037,2.487414836883545,0.048111190801317025,0.035965078045307235,0.0019339128079536403,0.048111190801317025,0.035965078045307235,0.0019339128079536403
Window Normal,82,50,115,58.37563451776649,0.004805088043212891,2.2388668060302734,2.2436718940734863,0.052393118931867794,0.03922033816098778,0.0022826817406118387,0.052393118931867794,0.03922033816098778,0.0022826817406118387
Window RBF,82,50,115,58.37563451776649,0.0022568702697753906,2.3019280433654785,2.304184913635254,0.05502787277147094,0.04121419148640098,0.002505813051705672,0.05502787277147094,0.04121419148640098,0.002505813051705672
Window Cosine,0,50,197,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,132,50,65,32.99492385786802,0.0027649402618408203,2.593305826187134,2.5960707664489746,0.05713436509337447,0.03168670929850634,0.0015157222674682274,0.05713436509337447,0.03168670929850634,0.0015157222674682274
Window Clinear,112,50,85,43.14720812182741,0.0017659664154052734,4.014292240142822,4.0160582065582275,0.042551269672011026,0.02332175423817508,0.0008161168430572431,0.042551269672011026,0.02332175423817508,0.0008161168430572431
Window Rank,82,50,115,58.37563451776649,0.002614736557006836,2.3219659328460693,2.324580669403076,0.05794155841766005,0.04362876859700349,0.0028556311479838226,0.05794155841766005,0.04362876859700349,0.0028556311479838226
Window Mahalanobis,82,50,115,58.37563451776649,0.0021560192108154297,2.948624849319458,2.9507808685302734,0.05417779793208462,0.04071992214528353,0.0024795290985699108,0.05417779793208462,0.04071992214528353,0.0024795290985699108
Window AR,82,50,115,58.37563451776649,0.003152132034301758,2.095261812210083,2.0984139442443848,0.04924711054875951,0.036590879152519545,0.0019683375132471368,0.04924711054875951,0.036590879152519545,0.0019683375132471368
Window Mean,82,50,115,58.37563451776649,0.025949716567993164,2.661715030670166,2.687664747238159,0.05372559764756226,0.040301960514573194,0.002415401462980592,0.05372559764756226,0.040301960514573194,0.002415401462980592
Window Median,82,50,115,58.37563451776649,0.025949716567993164,3.220425844192505,3.246375560760498,0.04777932599261651,0.035517899472426555,0.0018601262997708485,0.04777932599261651,0.035517899472426555,0.0018601262997708485
Binary Segmentation L1,82,50,115,58.37563451776649,0.00855398178100586,2.7170979976654053,2.725651979446411,0.054737166375303146,0.04078504555978888,0.0024020330006286105,0.054737166375303146,0.04078504555978888,0.0024020330006286105
Binary Segmentation L2,82,50,115,58.37563451776649,0.004170894622802734,2.52168607711792,2.5258569717407227,0.05136404746968223,0.038286592952186324,0.00215573099858693,0.05136404746968223,0.038286592952186324,0.00215573099858693
Binary Segmentation Normal,82,50,115,58.37563451776649,0.009855985641479492,2.5346779823303223,2.5445339679718018,0.06115728679241822,0.045928777167349624,0.0031028920741395963,0.06115728679241822,0.045928777167349624,0.0031028920741395963
Binary Segmentation RBF,77,50,120,60.913705583756354,0.004359006881713867,2.5706639289855957,2.5750229358673096,0.057081973682034416,0.058686398569356354,0.00507042990056575,0.057081973682034416,0.058686398569356354,0.00507042990056575
Binary Segmentation Cosine,12,50,185,93.90862944162437,0.00400996208190918,3.1330418586730957,3.137051820755005,0.06962017146343698,0.07234850124195187,0.007125455458250864,0.06962017146343698,0.07234850124195187,0.007125455458250864
Binary Segmentation Linear,152,50,45,22.84263959390863,0.004150867462158203,3.3756539821624756,3.379804849624634,0.044339383889251675,0.023907837965121297,0.0008232616245706199,0.044339383889251675,0.023907837965121297,0.0008232616245706199
Binary Segmentation Clinear,107,50,90,45.68527918781726,0.005299091339111328,3.171982765197754,3.1772818565368652,0.052909377829068883,0.029304569094353174,0.0012616023301203806,0.052909377829068883,0.029304569094353174,0.0012616023301203806
Binary Segmentation Rank,82,50,115,58.37563451776649,0.004561185836791992,2.499922037124634,2.504483222961426,0.06438910247922931,0.04810499192586362,0.003246409314875909,0.06438910247922931,0.04810499192586362,0.003246409314875909
Binary Segmentation Mahalanobis,82,50,115,58.37563451776649,0.002871990203857422,2.394321918487549,2.3971939086914062,0.05710529134892076,0.04271633365865545,0.002639080889428343,0.05710529134892076,0.04271633365865545,0.002639080889428343
Binary Segmentation AR,82,50,115,58.37563451776649,0.006581783294677734,2.2219808101654053,2.228562593460083,0.0668927902887905,0.050028886586961356,0.0034940116035707233,0.0668927902887905,0.050028886586961356,0.0034940116035707233
Binary Segmentation Mean,84,50,113,57.360406091370564,0.05441474914550781,2.669640064239502,2.7240548133850098,0.05646905287094684,0.04061485961493989,0.0024000900579152686,0.05646905287094684,0.04061485961493989,0.0024000900579152686
Binary Segmentation Median,82,50,115,58.37563451776649,0.05441474914550781,2.202497959136963,2.2569127082824707,0.04974532588532246,0.03713067037297547,0.0020434083865141653,0.04974532588532246,0.03713067037297547,0.0020434083865141653
Bottom Up L1,87,50,110,55.83756345177665,0.00339508056640625,2.1163880825042725,2.1197831630706787,0.056582771755481306,0.03769416931575465,0.0021258960165260418,0.056582771755481306,0.03769416931575465,0.0021258960165260418
Bottom Up L2,87,50,110,55.83756345177665,0.002081155776977539,2.442103147506714,2.4441843032836914,0.05089250332720235,0.03378483865264564,0.0017012416993549208,0.05089250332720235,0.03378483865264564,0.0017012416993549208
Bottom Up Normal,87,50,110,55.83756345177665,0.00345611572265625,2.1869049072265625,2.1903610229492188,0.056970568688693234,0.037906689481394425,0.002142082854704848,0.056970568688693234,0.037906689481394425,0.002142082854704848
Bottom Up RBF,87,50,110,55.83756345177665,0.0022656917572021484,2.1571831703186035,2.1594488620758057,0.05418874733580059,0.036066641683946035,0.0019460684857209012,0.05418874733580059,0.036066641683946035,0.0019460684857209012
Bottom Up Cosine,12,50,185,93.90862944162437,0.0014829635620117188,2.7217748165130615,2.7232577800750732,0.09209417785749388,0.09581195428976653,0.012126785628424444,0.09209417785749388,0.09581195428976653,0.012126785628424444
Bottom Up Linear,137,50,60,30.456852791878177,0.0023360252380371094,2.648719310760498,2.651055335998535,0.04276531420505948,0.0230387804048171,0.0007656738929883678,0.04276531420505948,0.0230387804048171,0.0007656738929883678
Bottom Up Clinear,112,50,85,43.14720812182741,0.0020542144775390625,3.606630802154541,3.60868501663208,0.039337046326796875,0.021452697838968963,0.0006843550524954556,0.039337046326796875,0.021452697838968963,0.0006843550524954556
Bottom Up Rank,87,50,110,55.83756345177665,0.002708911895751953,2.417405843734741,2.420114755630493,0.05544712388664795,0.036843848828238844,0.0020031231410062834,0.05544712388664795,0.036843848828238844,0.0020031231410062834
Bottom Up Mahalanobis,87,50,110,55.83756345177665,0.0015380382537841797,2.351931095123291,2.353469133377075,0.05512060633509616,0.03678412886940343,0.0020450691171179313,0.05512060633509616,0.03678412886940343,0.0020450691171179313
Bottom Up AR,87,50,110,55.83756345177665,0.0031549930572509766,2.411802053451538,2.414957046508789,0.04950557364958669,0.0328650634328969,0.0016212174551647844,0.04950557364958669,0.0328650634328969,0.0016212174551647844
Bottom Up Mean,87,50,110,55.83756345177665,0.024473190307617188,2.1359519958496094,2.1604251861572266,0.05065878012456761,0.03341553323135545,0.0016322132548856985,0.05065878012456761,0.03341553323135545,0.0016322132548856985
Bottom Up Median,87,50,110,55.83756345177665,0.024473190307617188,2.0192298889160156,2.043703079223633,0.05289505903534059,0.03494550007808479,0.0017931528943187839,0.05289505903534059,0.03494550007808479,0.0017931528943187839
